popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
10;0.0;0.6;0.1;100;roulette;1;288.04896160790463;0;0.690 seconds;{"eval":288.04896160790463}
10;0.0;0.8;0.1;25;roulette;2;259.04310381312195;0;0.188 seconds;{"eval":259.04310381312195}
10;0.0;0.8;0.3;50;roulette;0;276.55666938411764;0;0.182 seconds;{"eval":276.55666938411764}
10;0.0;0.6;0.3;100;ts2;1;285.2876873476339;0;0.203 seconds;{"eval":285.2876873476339}
10;0.0;0.6;0.1;100;roulette;0;291.3669800979156;0;0.764 seconds;{"eval":291.3669800979156}
10;0.5;0.8;0.3;100;roulette;2;261.4892556208768;0;0.765 seconds;{"eval":261.4892556208768}
10;0.0;0.7;0.3;100;roulette;1;257.88819016904625;0;0.727 seconds;{"eval":257.88819016904625}
10;0.5;0.6;0.1;25;roulette;2;244.61885602025274;0;0.252 seconds;{"eval":244.61885602025274}
10;0.0;0.8;0.3;100;roulette;2;232.75589659893538;0;0.398 seconds;{"eval":232.75589659893538}
10;0.0;0.6;0.2;25;roulette;4;272.9475774507913;0;0.152 seconds;{"eval":272.9475774507913}
20;0.0;0.8;0.3;100;roulette;2;248.59446276971966;0;2.126 seconds;{"eval":248.59446276971966}
10;0.0;0.8;0.3;100;ts3;4;312.610728161537;0;0.078 seconds;{"eval":312.610728161537}
100;0.0;0.8;0.3;100;roulette;4;291.8259523084108;0;24.342 seconds;{"eval":291.8259523084108}
10;0.25;0.8;0.3;100;roulette;0;247.30713033324616;0;1.095 seconds;{"eval":247.30713033324616}
10;0.0;0.6;0.3;100;roulette;0;209.21233754562863;0;0.634 seconds;{"eval":209.21233754562863}
10;0.0;0.7;0.3;25;roulette;0;219.03144764778264;0;0.338 seconds;{"eval":219.03144764778264}
10;0.0;0.6;0.3;50;roulette;0;227.0295470950206;0;0.445 seconds;{"eval":227.0295470950206}
10;0.0;0.6;0.3;50;roulette;1;255.06045341292673;0;0.274 seconds;{"eval":255.06045341292673}
10;0.25;0.6;0.1;25;roulette;2;258.69768171124133;0;0.117 seconds;{"eval":258.69768171124133}
10;0.0;0.7;0.3;25;roulette;2;246.1114918992231;0;0.176 seconds;{"eval":246.1114918992231}
10;0.0;0.7;0.3;25;roulette;4;253.25727479392765;0;0.118 seconds;{"eval":253.25727479392765}
10;0.0;0.8;0.3;25;roulette;4;258.43407228738783;0;0.082 seconds;{"eval":258.43407228738783}
10;0.1;0.8;0.3;100;roulette;4;247.37409708224865;0;0.145 seconds;{"eval":247.37409708224865}
10;0.0;0.6;0.2;25;roulette;0;226.01538318444025;0;0.307 seconds;{"eval":226.01538318444025}
10;0.25;0.6;0.1;25;roulette;0;232.98452549819913;0;0.317 seconds;{"eval":232.98452549819913}
10;0.25;0.8;0.3;100;roulette;2;296.7006528406848;0;0.561 seconds;{"eval":296.7006528406848}
10;0.1;0.8;0.3;100;roulette;3;231.49771111534255;0;0.525 seconds;{"eval":231.49771111534255}
10;0.0;0.8;0.3;100;ts2;3;244.30384108580446;0;0.145 seconds;{"eval":244.30384108580446}
10;0.0;0.6;0.3;100;roulette;3;286.5573869637981;0;0.516 seconds;{"eval":286.5573869637981}
10;0.0;0.7;0.2;100;roulette;1;233.21312533198085;0;0.790 seconds;{"eval":233.21312533198085}
10;0.0;0.6;0.2;25;roulette;1;278.4878728735341;0;0.159 seconds;{"eval":278.4878728735341}
10;0.0;0.6;0.1;100;roulette;2;231.7108013378581;0;0.579 seconds;{"eval":231.7108013378581}
10;0.0;0.6;0.3;25;roulette;0;264.09208039408463;0;0.306 seconds;{"eval":264.09208039408463}
10;0.1;0.6;0.3;100;roulette;0;236.16102462825663;0;0.904 seconds;{"eval":236.16102462825663}
10;0.0;0.8;0.3;100;ts3;3;438.09165734126464;0;0.133 seconds;{"eval":438.09165734126464}
10;0.0;0.8;0.1;25;roulette;3;249.25859742328396;0;0.207 seconds;{"eval":249.25859742328396}
10;0.25;0.6;0.3;100;roulette;1;243.41176242651304;0;0.546 seconds;{"eval":243.41176242651304}
