popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration;bestPhenotype
20;0.1;0.6;0.1;25;roulette;2;130.0;-1173.0;1 minutes, 41.211 seconds;{"price":0,"size":0,"maxSize":27}
10;0.1;0.7;0.1;25;roulette;1;-699.0;-1173.0;33.434 seconds;{"price":719,"size":29,"maxSize":27}
100;0.0;0.6;0.1;25;roulette;0;-680.0;-1173.0;24 minutes, 19.255 seconds;{"price":690,"size":24,"maxSize":27}
10;0.1;0.6;0.2;25;roulette;1;-944.0;-1173.0;50.543 seconds;{"price":1324,"size":65,"maxSize":27}
10;0.1;0.7;0.2;25;roulette;4;-1109.0;-1173.0;41.412 seconds;{"price":1429,"size":59,"maxSize":27}
10;0.1;0.8;0.2;25;roulette;3;-1272.0;-1173.0;31.014 seconds;{"price":1682,"size":68,"maxSize":27}
20;0.0;0.6;0.1;25;roulette;1;-989.0;-1173.0;1 minutes, 57.086 seconds;{"price":1059,"size":34,"maxSize":27}
10;0.1;0.7;0.2;25;roulette;3;-1314.0;-1173.0;43.796 seconds;{"price":1804,"size":76,"maxSize":27}
10;0.1;0.6;0.1;25;ts3;4;130.0;-1173.0;7.855 seconds;{"price":0,"size":0,"maxSize":27}
10;0.1;0.7;0.1;25;roulette;4;-1289.0;-1173.0;29.176 seconds;{"price":1719,"size":70,"maxSize":27}
100;0.1;0.6;0.1;25;roulette;4;-841.0;-1173.0;16 minutes, 58.825 seconds;{"price":1001,"size":43,"maxSize":27}
100;0.0;0.6;0.1;25;roulette;1;-701.0;-1173.0;24 minutes, 42.305 seconds;{"price":771,"size":34,"maxSize":27}
10;0.1;0.7;0.3;25;roulette;0;-1155.0;-1173.0;1 minutes, 12.188 seconds;{"price":1755,"size":87,"maxSize":27}
10;0.1;0.8;0.2;25;roulette;1;-1341.0;-1173.0;41.684 seconds;{"price":2091,"size":102,"maxSize":27}
50;0.1;0.6;0.1;25;roulette;4;-1110.0;-1173.0;7 minutes, 12.192 seconds;{"price":1130,"size":29,"maxSize":27}
10;0.1;0.8;0.3;25;roulette;1;-785.0;-1173.0;31.043 seconds;{"price":1035,"size":52,"maxSize":27}
10;0.1;0.6;0.1;25;ts3;1;130.0;-1173.0;18.855 seconds;{"price":0,"size":0,"maxSize":27}
10;0.1;0.6;0.1;25;roulette;4;-653.0;-1173.0;5.879 seconds;{"price":663,"size":25,"maxSize":27}
10;0.1;0.6;0.2;25;roulette;4;-924.0;-1173.0;47.871 seconds;{"price":1024,"size":37,"maxSize":27}
10;0.5;0.6;0.1;25;roulette;1;-875.0;-1173.0;22.085 seconds;{"price":1105,"size":50,"maxSize":27}
10;0.5;0.6;0.1;25;roulette;0;-1003.0;-1173.0;40.324 seconds;{"price":1093,"size":36,"maxSize":27}
10;0.1;0.7;0.1;25;roulette;3;-1153.0;-1173.0;35.697 seconds;{"price":1813,"size":93,"maxSize":27}
10;0.1;0.8;0.3;25;roulette;0;-1167.0;-1173.0;41.279 seconds;{"price":1697,"size":80,"maxSize":27}
10;0.1;0.6;0.1;100;roulette;3;-1579.0;-1173.0;57.997 seconds;{"price":2369,"size":106,"maxSize":27}
10;0.1;0.6;0.1;100;roulette;1;-702.0;-1173.0;1 minutes, 49.011 seconds;{"price":702,"size":26,"maxSize":27}
10;0.0;0.6;0.1;25;roulette;2;-1532.0;-1173.0;37.291 seconds;{"price":2102,"size":84,"maxSize":27}
100;0.1;0.6;0.1;25;roulette;1;-867.0;-1173.0;24 minutes, 9.924 seconds;{"price":1017,"size":42,"maxSize":27}
20;0.0;0.6;0.1;25;roulette;4;-713.0;-1173.0;1 minutes, 58.022 seconds;{"price":713,"size":27,"maxSize":27}
10;0.1;0.8;0.1;25;roulette;1;-636.0;-1173.0;39.276 seconds;{"price":646,"size":24,"maxSize":27}
10;0.1;0.7;0.3;25;roulette;3;-1170.0;-1173.0;34.981 seconds;{"price":1410,"size":51,"maxSize":27}
10;0.0;0.6;0.1;25;roulette;1;-720.0;-1173.0;44.673 seconds;{"price":730,"size":28,"maxSize":27}
50;0.1;0.6;0.1;25;roulette;3;-927.0;-1173.0;8 minutes, 37.591 seconds;{"price":1057,"size":40,"maxSize":27}
10;0.1;0.8;0.3;25;roulette;3;-681.0;-1173.0;32.450 seconds;{"price":681,"size":26,"maxSize":27}
100;0.1;0.6;0.1;25;roulette;3;-653.0;-1173.0;24 minutes, 19.130 seconds;{"price":673,"size":23,"maxSize":27}
100;0.0;0.6;0.1;25;roulette;2;-672.0;-1173.0;24 minutes, 42.348 seconds;{"price":702,"size":21,"maxSize":27}
10;0.1;0.7;0.2;25;roulette;1;-1400.0;-1173.0;57.893 seconds;{"price":1770,"size":64,"maxSize":27}
10;0.1;0.8;0.2;25;roulette;0;-618.0;-1173.0;1 minutes, 6.991 seconds;{"price":628,"size":28,"maxSize":27}
20;0.0;0.6;0.1;25;roulette;2;-1145.0;-1173.0;2 minutes, 11.655 seconds;{"price":1355,"size":48,"maxSize":27}
10;0.5;0.6;0.1;25;roulette;2;-673.0;-1173.0;38.206 seconds;{"price":713,"size":19,"maxSize":27}
10;0.1;0.8;0.1;25;roulette;3;-644.0;-1173.0;31.685 seconds;{"price":664,"size":23,"maxSize":27}
10;0.1;0.6;0.3;25;roulette;1;-797.0;-1173.0;1 minutes, 2.229 seconds;{"price":977,"size":45,"maxSize":27}
10;0.1;0.7;0.1;25;roulette;0;-1029.0;-1173.0;39.379 seconds;{"price":1369,"size":61,"maxSize":27}
50;0.1;0.6;0.1;25;roulette;1;-540.0;-1173.0;9 minutes, 3.737 seconds;{"price":610,"size":34,"maxSize":27}
20;0.0;0.6;0.1;25;roulette;0;-1133.0;-1173.0;2 minutes, 5.951 seconds;{"price":1393,"size":53,"maxSize":27}
10;0.25;0.6;0.1;25;roulette;2;-867.0;-1173.0;37.762 seconds;{"price":1077,"size":48,"maxSize":27}
10;0.25;0.6;0.1;25;roulette;0;-1239.0;-1173.0;31.385 seconds;{"price":1839,"size":87,"maxSize":27}
10;0.1;0.8;0.1;25;roulette;4;-1041.0;-1173.0;26.452 seconds;{"price":1361,"size":59,"maxSize":27}
10;0.1;0.6;0.1;25;ts2;2;-318.0;-1173.0;9.411 seconds;{"price":378,"size":14,"maxSize":27}
10;0.1;0.7;0.1;25;roulette;2;-282.0;-1173.0;32.923 seconds;{"price":372,"size":9,"maxSize":27}
50;0.1;0.6;0.1;25;roulette;2;-981.0;-1173.0;8 minutes, 12.989 seconds;{"price":1341,"size":63,"maxSize":27}
50;0.0;0.6;0.1;25;roulette;0;-1153.0;-1173.0;9 minutes, 44.824 seconds;{"price":1393,"size":51,"maxSize":27}
