popSize;mixinFactor;cp;mp;maxGen;natSel;iteration;eval;optimum;duration
5;0.0;0.75;0.35;100;roulette;2;252.5033876517737;0;0.226 seconds
5;0.05;0.8;0.3;100;roulette;0;244.15714051071492;0;0.185 seconds
5;0.0;0.82;0.25;110;roulette;0;233.58708880252357;0;0.285 seconds
5;0.05;0.78;0.25;100;roulette;0;271.72750438595335;0;0.185 seconds
5;0.1;0.8;0.3;100;roulette;2;228.9279894182219;0;0.168 seconds
5;0.05;0.82;0.25;100;roulette;1;199.98001168341614;0;0.124 seconds
5;0.05;0.75;0.3;100;roulette;0;252.86201470793418;0;0.204 seconds
5;0.0;0.78;0.28;100;roulette;0;214.51820856940674;0;0.316 seconds
15;0.0;0.8;0.3;100;roulette;1;227.35916184023438;0;0.643 seconds
5;0.05;0.75;0.35;110;roulette;0;233.82957185846806;0;0.201 seconds
5;0.0;0.78;0.28;100;roulette;1;219.07203895230887;0;0.244 seconds
5;0.0;0.85;0.3;100;roulette;2;221.67566876833257;0;0.114 seconds
5;0.0;0.82;0.32;100;roulette;2;213.5558175759963;0;0.154 seconds
5;0.0;0.85;0.25;100;roulette;2;211.08770430019766;0;0.117 seconds
5;0.05;0.85;0.28;100;roulette;2;232.88701389982967;0;0.256 seconds
5;0.0;0.75;0.25;100;roulette;1;243.67337650750892;0;0.214 seconds
5;0.05;0.78;0.3;100;roulette;1;239.12546655993643;0;0.218 seconds
5;0.0;0.82;0.25;110;roulette;2;232.13517782691773;0;0.110 seconds
5;0.05;0.82;0.35;100;roulette;2;243.6346432538716;0;0.212 seconds
5;0.0;0.8;0.28;100;roulette;2;223.76619960674412;0;0.247 seconds
5;0.05;0.8;0.25;100;roulette;2;253.0580788796491;0;0.253 seconds
